kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
kolaborasi instansi tingkat efektivitas tegak hukum,netral,sadness,0.0,0.0,
hukum indonesia butuh polisi jujur adil,percaya,sadness,0.0,0.0,
lapor proses suai mekanisme,netral,sadness,0.0,0.0,
kinerja polisi terus,netral,sadness,0.0,0.0,
kinerja polisi bagus,senang,sadness,0.0,0.0,
polisi solusi tambah luka,sedih,sadness,0.0,0.0,
percaya rakyat aset besar polisi,percaya,sadness,0.0,0.0,
polisi manusia,netral,sadness,0.0,0.0,
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,senang,sadness,0.0,0.0,
polisi profesional bawa dampak sistem hukum,percaya,sadness,0.0,0.0,
hukum tegak dasar atur tetap,netral,sadness,0.0,0.0,
polisi pakai sogok makan,sedih,sadness,0.0,0.0,
tangan adil takut hukum negeri,takut,fear,0.0,0.0,
rakyat salah langsung hukum oknum polisi salah lindung,marah,sadness,0.0,0.0,
kesel banget tangkap salah main gertak rakyat,sedih,sadness,0.0,0.0,
terima kasih polisi bantu warga,senang,sadness,0.0,0.0,
terima kasih bu polisi,senang,sadness,0.0,0.0,
hukum polisi tebang pilih,senang,sadness,0.0,0.0,
takut tidakadil,takut,fear,0.0,0.0,
harap kecewa polisi,sedih,sadness,0.7,-0.7,kecewa
polisi wajib kasih harga perhati,senang,sadness,0.0,0.0,
percaya polisi transparan tangan,netral,sadness,0.0,0.0,
alhamdulillah mudik maju terima kasih polisi,senang,sadness,0.0,0.0,
pasti hukum wujud polisi jujur,percaya,sadness,0.0,0.0,
takut hadap polisi profesional salah guna wenang,takut,fear,0.0,0.0,
tampil henti polisi sheila on kecewa toleransi aparat,sedih,sadness,0.7,-0.7,kecewa
saat ancam lindung terima kasih polisi tni semangat,senang,sadness,0.0,0.0,
terima kasih polisi keras jaga batas laut,senang,sadness,0.0,0.0,
kecewa sakit hati polisi,sedih,sadness,0.7,-0.7,kecewa
terima kasih polisi salut,senang,sadness,0.0,0.0,
masalah bangsa tegak hukum polisi percaya rakyat,percaya,sadness,0.0,0.0,
integritas polisi pondasi utama percaya publik,netral,sadness,0.0,0.0,
gue polisi juang rakyat penting,sedih,sadness,0.0,0.0,
kecewa hukum negeri seakan formalitas,sedih,sadness,0.7,-0.7,kecewa
miris orang jujur jadi sangka,sedih,sadness,0.0,0.0,
berani polisi lawan tidakadil patut apresiasi,percaya,sadness,0.0,0.0,
patut apresiasi kinerja polisi gerak cepat tangkap edar narkoba,senang,sadness,0.0,0.0,
hukum formalitas,marah,sadness,0.0,0.0,
moga layan polisi depan,netral,sadness,0.0,0.0,
apresiasi dalam dedikasi kinerja polisi,percaya,sadness,0.0,0.0,
untuk polisi jujur adil maksimal ucap terimakasih,percaya,sadness,0.0,0.0,
salut polisi tolong sopir truk kontainer pingsan,senang,sadness,0.0,0.0,
ngeri berani bicara kriminalisasi,takut,fear,0.0,0.0,
terima kasih polisi kronologi,senang,sadness,0.0,0.0,
jalan ruang sidang lempem,netral,sadness,0.0,0.0,
polisi jaga adil,percaya,sadness,0.0,0.0,
marah,marah,anger,0.8,-0.8,marah
laku kayak preman hormat gimana rakyat respek,marah,sadness,0.0,0.0,
dendam lihat polisi bebas hukum bukti salah,marah,anger,0.9,-0.9,dendam
rinding lihat aparat salah guna kuasa,takut,sadness,0.0,0.0,
hukum negeri duit,marah,sadness,0.0,0.0,
sentuh langsung hukum,marah,sadness,0.0,0.0,
polisi lindung aman,takut,sadness,0.0,0.0,
takut polisi jahat,takut,fear,0.0,0.0,
seram polisi bawa senjata aman tegang,percaya,fear,0.0,0.0,
jengkel banget polisi diam,marah,anger,0.6,-0.6,jengkel
sok kerja rugi rakyat,marah,sadness,0.0,0.0,
polisi jujur amanah keren banget moga kayak gitu,percaya,sadness,0.0,0.0,
pecat oknum polisi,marah,sadness,0.0,0.0,
miris bukti proses larut larut,sedih,sadness,0.0,0.0,
aman polisi jaga aman nyaman masyarakat,senang,sadness,0.0,0.0,
geram lihat aparat pikir,marah,anger,0.7,-0.7,geram
kerja penting mending mundur aja,marah,sadness,0.0,0.0,
tidak rakyat sok kuasa,marah,sadness,0.0,0.0,
polisi aman,netral,sadness,0.0,0.0,
polisi lindung kriminal,sedih,sadness,0.0,0.0,
polisi peran tertib masyarakat,netral,sadness,0.0,0.0,
