kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
terima kasih polisi kronologi,joy,sadness,0.0,0.0,
marah banget lihat tidak kelar,anger,anger,0.8,-0.8,marah
moga layan polisi depan,netral,sadness,0.0,0.0,
wow tidak sangka polisi tanggap cepat,shock,sadness,0.0,0.0,
marah,anger,anger,0.8,-0.8,marah
partisipasi publik awas bantu jaga kredibilitas polisi,netral,sadness,0.0,0.0,
polisi integritas hati masyarakat,trust,sadness,0.0,0.0,
kecewa aja liat polisi,anger,sadness,0.7,-0.7,kecewa
takut korban tidak adil laku bebas keliar,fear,fear,0.0,0.0,
lapor takut tidak proses,fear,fear,0.0,0.0,
mantap tangan mudik polisi,joy,sadness,0.0,0.0,
gue heran cepat tangan,shock,sadness,0.0,0.0,
polisi bagus aja kerja tidak sangka,shock,sadness,0.0,0.0,
masyarakat indonesia senang polisi jujur adil,trust,joy,0.8,0.8,senang
hebat polisi pikir cepat,shock,sadness,0.0,0.0,
tambah kinerja polisi polisi jujur adil lindung rakyat,sadness,sadness,0.0,0.0,
deg degan temu razia tidak salah,fear,sadness,0.0,0.0,
polisi ikut prosedur tindak,netral,sadness,0.0,0.0,
senang anak yatim kota diri ajak polisi belanja baju lebaran mall,joy,joy,0.8,0.8,senang
masyarakat polisi dukung aman,trust,sadness,0.0,0.0,
bangga polisi layan rakyat penuh hati,joy,joy,0.8,0.8,bangga
polisi lindung tambah takut,fear,fear,0.0,0.0,
polisi usut proses adil,netral,sadness,0.0,0.0,
kesel banget tangkap salah main gertak rakyat,fear,sadness,0.0,0.0,
bahagia polisi tegak hukum adil,trust,joy,1.0,1.0,bahagia
polisi jujur amanah keren banget moga kayak gitu,trust,sadness,0.0,0.0,
tidak cepat ubah internal,shock,sadness,0.0,0.0,
khawatir urus polisi hasil kali tebak,fear,fear,0.0,0.0,
eh kejut gue,shock,sadness,0.0,0.0,
kaget parah liat progres tidak sangka sih,shock,sadness,0.0,0.0,
salut bangga kinerja polisi berantas kriminalitas,joy,joy,0.8,0.8,bangga
bina lanjut personel polisi jaga profesionalisme,netral,sadness,0.0,0.0,
polisi suai tugas fungsi,netral,sadness,0.0,0.0,
hukum indonesia butuh polisi jujur adil,trust,sadness,0.0,0.0,
susah banget cari polisi jujur,sadness,sadness,0.0,0.0,
pulang mudik macet lancar jalan terima kasih polisi,joy,sadness,0.0,0.0,
polisi hati percaya,trust,sadness,0.0,0.0,
harap hukum main,sadness,sadness,0.0,0.0,
salut polisi hadir rakyat butuh bantu,joy,sadness,0.0,0.0,
eh benar hoaks cepat banget,shock,sadness,0.0,0.0,
tolong bukti hoax bukti valid biar rakyat percaya,anger,sadness,0.0,0.0,
bangga polisi berani lawan praktik korupsi,trust,joy,0.8,0.8,bangga
benar jadi prank netizen doang,shock,sadness,0.0,0.0,
proses hukum jalan suai atur laku,netral,sadness,0.0,0.0,
takut polisi takut jahat,fear,fear,0.0,0.0,
putus ambil polisi sungguh kecewa cermin adil,sadness,sadness,0.7,-0.7,kecewa
hilang harap tangan serius,sadness,sadness,0.0,0.0,
polisi lindung sumber ketidakadilan,sadness,sadness,0.0,0.0,
tidak percaya polisi tegas tumben banget,shock,sadness,0.0,0.0,
layan publik tingkat percaya masyarakat,netral,sadness,0.0,0.0,
polisi ramah bikin nyaman,joy,sadness,0.0,0.0,
polisi hebat gue sampe takjub,shock,sadness,0.0,0.0,
dikit damai hukum,anger,sadness,0.0,0.0,
mending ajar arti adil,anger,sadness,0.0,0.0,
orang bayar pajak gaji kerja bikin rakyat sengsara,anger,sadness,1.0,-1.0,sengsara
polisi lindung masyarakat penuh hati,trust,sadness,0.0,0.0,
kadang takut hukum pihak kuasa,fear,fear,0.0,0.0,
polisi patroli rasa tidak tenang,fear,sadness,0.0,0.0,
gue canda benar jadi,shock,sadness,0.0,0.0,
shock parah berita hilang gitu aja,shock,sadness,0.0,0.0,
rakyat cari adil dite gila sih,anger,sadness,0.0,0.0,
kinerja polisi,netral,sadness,0.0,0.0,
miris masyarakat takut percaya aparat,sadness,fear,0.0,0.0,
polisi prinsip jujur dukung,trust,sadness,0.0,0.0,
sinergi polisi masyarakat,netral,sadness,0.0,0.0,
pagi viral sore udah kembang,shock,sadness,0.0,0.0,
sulit percaya polisi penuh tindak suai hukum,sadness,sadness,0.0,0.0,
jam aja udah tindak mantap,shock,sadness,0.0,0.0,
polisi tidak becus kerja harap rakyat percaya,anger,sadness,0.0,0.0,
tegak hukum adil polisi jujur,trust,sadness,0.0,0.0,
kaget sih tidak banget aparat cepat,shock,sadness,0.0,0.0,
layan publik maksimal harap warga polisi,joy,sadness,0.0,0.0,
rakyat biar tunggu adil tidak,fear,sadness,0.0,0.0,
lapor tindak nyata,fear,sadness,0.0,0.0,
masyarakat percaya lindung,trust,sadness,0.0,0.0,
moga polisi utama adil tindak,trust,sadness,0.0,0.0,
polisi jujur,trust,sadness,0.0,0.0,
hebat polisi sigap tangan situasi darurat,netral,sadness,0.0,0.0,
percaya kinerja polisi sungguh adil,trust,sadness,0.0,0.0,
lapor masyarakat tindaklanjut suai prosedur,netral,sadness,0.0,0.0,
bahagia polisi humanis layan masyarakat,joy,joy,1.0,1.0,bahagia
tampil henti polisi sheila on kecewa toleransi aparat,sadness,sadness,0.7,-0.7,kecewa
takut butuh bantu polisi peduli,fear,fear,0.0,0.0,
layan publik jalan suai prosedur,netral,sadness,0.0,0.0,
masyarakat kecewa polisi,sadness,sadness,0.7,-0.7,kecewa
hilang seram banget sistem,fear,fear,0.0,0.0,
laku kayak preman hormat gimana rakyat respek,anger,sadness,0.0,0.0,
integritas polisi pondasi utama percaya publik,trust,sadness,0.0,0.0,
lindung rakyat bikin takut,fear,fear,0.0,0.0,
kadang pilih diam lapor polisi takut sulit curiga,fear,fear,0.0,0.0,
polisi jujur tulus maaf,trust,sadness,0.0,0.0,
viral tidak cepat sih tetap kaget,shock,sadness,0.0,0.0,
bulan hitung doang,shock,sadness,0.0,0.0,
polisi lindung kriminal,sadness,sadness,0.0,0.0,
polisi disiplin bawa ubah negeri,trust,sadness,0.0,0.0,
adi polisi laku peras,netral,sadness,0.0,0.0,
muak janji palsu polisi bukti,anger,sadness,0.0,0.0,
kecewa polisi tidak langsung jadi,sadness,sadness,0.7,-0.7,kecewa
rakyat protes bilang tidak hormat hukum gimana,anger,sadness,0.0,0.0,
polisi lindung rakyat bikin susah,fear,sadness,0.0,0.0,
gue percaya polisi bukti emang serius jaga adil,trust,sadness,0.0,0.0,
polisi lupa rakyat,sadness,sadness,0.0,0.0,
muak citra aksi nyata,anger,sadness,0.0,0.0,
tidak polisi langsung tanggap kayak begini kaget sih,shock,sadness,0.0,0.0,
polisi amanah adil hormat rakyat,trust,sadness,0.0,0.0,
adil kuasa,fear,sadness,0.0,0.0,
muak alas polisi ubah ubah,anger,sadness,0.0,0.0,
polisi janji reformasi,anger,sadness,0.0,0.0,
kesal lihat rakyat sulit,anger,anger,0.5,-0.5,kesal
tidak malu sumpah jabat,anger,sadness,0.0,0.0,
adil tunggu viral,sadness,sadness,0.0,0.0,
marah kecewa percaya,sadness,anger,0.75,-0.75,"marah, kecewa"
jiwa raga manusia terima kasih polri peduli,joy,sadness,0.0,0.0,
pagi viral sore udah umum resmi,shock,sadness,0.0,0.0,umum
takut bicara ujung ancam,fear,fear,0.0,0.0,
benci banget polisi tutup salah,anger,anger,1.0,-1.0,benci
jalan ruang sidang lempem,netral,sadness,0.0,0.0,
moga lapor masyarakat ditindaklanjuti cepat,netral,sadness,0.0,0.0,
hati sakit jahat biar,sadness,sadness,0.0,0.0,
percaya polisi rakyat,trust,sadness,0.0,0.0,
kasus libat jabat deh lambat proses,shock,sadness,0.0,0.0,
kecewa banget polisi,sadness,sadness,0.7,-0.7,kecewa
sedih lapor anggap angin,fear,sadness,0.8,-0.8,sedih
tidak jujur polisi,trust,sadness,0.0,0.0,
pantul kinerja polisi,netral,sadness,0.0,0.0,
tertib masyarakat cipta,netral,sadness,0.0,0.0,
rakyat salah langsung hukum oknum polisi salah lindung,anger,sadness,0.0,0.0,
percaya polisi bangun percaya masyarakat,trust,sadness,0.0,0.0,
publik puas kinerja polisi,netral,joy,0.7,0.7,puas
polisi peran atur lintas jaga lancar jalan,netral,sadness,0.0,0.0,
takut kena salah,fear,fear,0.0,0.0,
sedih marah kecewa rakyat adu,sadness,sadness,0.7666666666666666,-0.7666666666666666,"sedih, marah, kecewa"
mantap mudik lebaran keluarga aman lancar,joy,sadness,0.0,0.0,
terima kasih kapolri komitmen polisi jaga satu satu bangsa,joy,sadness,0.0,0.0,
polisi takut sih,fear,fear,0.0,0.0,
ujung tumpuk,sadness,sadness,0.0,0.0,
kali aja bikin darah,anger,sadness,0.0,0.0,
wow tanggap polisi kali bikin gue speechless,shock,sadness,0.0,0.0,
mukjizat viral langsung beres,shock,sadness,0.0,0.0,
sih tidak malu ragam,anger,sadness,0.0,0.0,
harap kecewa,sadness,sadness,0.7,-0.7,kecewa
udah orang korban salah tangkap ngeri,fear,fear,0.0,0.0,
senang polisi bantu masyarakat,joy,joy,0.8,0.8,senang
serius hoaks cepat banget tindak,shock,sadness,0.0,0.0,
jahat bebas keliar ngeri hidup,fear,fear,0.0,0.0,
polisi kinerja kayak tai,anger,sadness,0.0,0.0,
masyarakat senang polisi aktif jaga tertib,netral,joy,0.8,0.8,senang
percaya jahat rajalela,sadness,sadness,0.0,0.0,
aman nyaman masyarakat prioritas,joy,sadness,0.0,0.0,
bangga polisi ayom rakyat penuh tulus,trust,joy,0.8,0.8,bangga
layan publik optimal prioritas utama polisi,netral,sadness,0.0,0.0,
gue update berita udah selesai kasus,shock,sadness,0.0,0.0,
moga polisi jalan tugas,netral,sadness,0.0,0.0,
aman butuh kerja polisi masyarakat,netral,sadness,0.0,0.0,
takut polisi jahat,fear,fear,0.0,0.0,
sedih rakyat hilang percaya hukum,sadness,sadness,0.8,-0.8,sedih
bangga polisi sigap tolong,joy,joy,0.8,0.8,bangga
tidak malu berita buruk polisi,anger,sadness,0.0,0.0,
benci banget tidakadil biar,anger,anger,1.0,-1.0,benci
lapor hilang motor udah ikhlas aja serius,anger,sadness,0.0,0.0,
kecewa tangan polisi nilai,sadness,sadness,0.7,-0.7,kecewa
polisi rakyat mudah jalan tugas,netral,sadness,0.0,0.0,
takut suara rakyat bungkam mudah,fear,fear,0.0,0.0,
kecewa kinerja polisi harap baik,sadness,sadness,0.39999999999999997,-0.3,"kecewa, baik"
lapor masyarakat proses suai tentu hukum,netral,sadness,0.0,0.0,
benci polisi modal ragam integritas,anger,anger,1.0,-1.0,benci
suara rakyat abai,sadness,sadness,0.0,0.0,
tugas tantang polisi,netral,sadness,0.0,0.0,
tidak hormat,trust,sadness,0.0,0.0,
rakyat lawan bilang langgar hukum langgar kasih sanksi ringan,joy,sadness,0.0,0.0,
senang polisi sigap responsif,joy,joy,0.8,0.8,senang
polisi fungsi,netral,sadness,0.0,0.0,
harap polisi setia tugas lindung rakyat,trust,sadness,0.0,0.0,
gue mimpi benar udah tindak,shock,sadness,0.0,0.0,
takut lapor isa damai tidak fear,fear,fear,0.0,0.0,
jengkel lihat polisi sibuk kejar tilang tangkap koruptor,anger,anger,0.6,-0.6,jengkel
kali gue puas cepat respons aparat,shock,joy,0.7,0.7,puas
takut bukti tindak,fear,fear,0.0,0.0,
polisi diam rakyat derita,sadness,sadness,0.0,0.0,
eh benar nyata cepat banget progres,shock,sadness,0.0,0.0,
lapor polisi anggap canda sakit banget,sadness,sadness,0.0,0.0,
fix cepat sih tangan gue liat,shock,sadness,0.0,0.0,
moga polisi profesional tugas,netral,sadness,0.0,0.0,
tugas utama polisi jaga tertib lindung warga,netral,sadness,0.0,0.0,
miris hukum main kuasa,sadness,sadness,0.0,0.0,
seram temu polisi muka galak,fear,fear,0.0,0.0,
terima kasih polisi keras ungkap,joy,sadness,0.0,0.0,
hadir tengah masyarakat terima kasih polri,joy,sadness,0.0,0.0,
latih kembang tingkat profesionalisme,netral,sadness,0.0,0.0,
polisi pilar adil negeri,trust,sadness,0.0,0.0,
percaya polisi kerja hati moga,trust,sadness,0.0,0.0,
tidak aman jahat biar,fear,sadness,0.0,0.0,
polisi lindung rakyat,fear,sadness,0.0,0.0,
polisi bersih dukung penuh,trust,sadness,0.0,0.0,
kaget banget cepat tangan kasus,shock,sadness,0.0,0.0,
luar dugaan langsung proses,shock,sadness,0.0,0.0,
hilang bukti lenyap percaya,sadness,sadness,0.0,0.0,
baik sektor polisi bawa dampak positif masyarakat,trust,joy,0.1,0.1,baik
lindung,fear,sadness,0.0,0.0,
kuat sistem awas internal tingkat transparansi polisi,netral,sadness,0.0,0.0,
terima kasih polisi bantu aman,joy,sadness,0.0,0.0,
buset butuh petisi gerak mah langsung,shock,sadness,0.0,0.0,
polisi edukasi hukum masyarakat paham,netral,sadness,0.0,0.0,
program tingkat kualitas sdm polisi bantu profesionalisme kerja,netral,sadness,0.0,0.0,
aman wilayah salah indikator hasil kinerja polisi,sadness,sadness,0.0,0.0,
andai polisi rakyat ada,trust,sadness,0.0,0.0,
polisi adaptasi kembang zaman biar efektif,netral,sadness,0.0,0.0,
kaget benar tidak sangka polisi langsung turun tangan,shock,sadness,0.0,0.0,
polisi tingkat profesionalisme tugas,netral,sadness,0.0,0.0,
lapor abai,fear,sadness,0.0,0.0,
tingkat sulit beda beda,netral,sadness,0.0,0.0,
harap hukum pihak kuat,trust,sadness,0.0,0.0,
polisi tugas berat moga amanah jalan,netral,sadness,0.0,0.0,
senang polisi dengar keluh kesah masyarakat ayom masyarakat,trust,joy,0.8,0.8,senang
nama respons cepat bikin kejut gue,shock,sadness,0.0,0.0,
polisi kerja sih salah lindung,anger,sadness,0.0,0.0,
polisi transparan profesional percaya masyarakat tingkat,netral,sadness,0.0,0.0,
polisi lindung aman,fear,sadness,0.0,0.0,
susah percaya lapor polisi proses,netral,sadness,0.0,0.0,
