kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
kolaborasi instansi tingkat efektivitas tegak hukum,netral,sadness,0.0,0.0,
hukum indonesia butuh polisi jujur adil,percaya,sadness,0.0,0.0,
lapor proses suai mekanisme,netral,sadness,0.0,0.0,
kinerja polisi terus,netral,sadness,0.0,0.0,
kinerja polisi bagus,senang,sadness,0.0,0.0,
suara rakyat abai,sedih,sadness,0.0,0.0,
percaya rakyat aset besar polisi,percaya,sadness,0.0,0.0,
ubah sistem butuh tidak instan,marah,sadness,0.0,0.0,
terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol,senang,sadness,0.0,0.0,
polisi profesional bawa dampak sistem hukum,percaya,sadness,0.0,0.0,
polisi milik wenang selidik periksa,netral,sadness,0.0,0.0,
polisi pakai sogok makan,sedih,sadness,0.0,0.0,
tangan adil takut hukum negeri,takut,fear,0.0,0.0,
kali aja bikin darah,marah,sadness,0.0,0.0,
kerja penting mending mundur aja,marah,sadness,0.0,0.0,
terima kasih polisi bantu warga,senang,sadness,0.0,0.0,
terima kasih polwan,senang,sadness,0.0,0.0,
polisi lindung rakyat bikin susah,marah,sadness,0.0,0.0,
takut tidakadil,takut,fear,0.0,0.0,
allah sedih kecewa marah polisi,sedih,sadness,0.7666666666666666,-0.7666666666666666,"sedih, kecewa, marah"
jarang polisi terima kasih polri moga sejahtera,senang,sadness,0.0,0.0,
rakyat butuh polisi panutan tegak hukum,percaya,sadness,0.0,0.0,
terima kasih polisi moga sehat lancar rejeki,senang,sadness,0.0,0.0,
pasti hukum wujud polisi jujur,percaya,sadness,0.0,0.0,
takut hadap polisi profesional salah guna wenang,takut,fear,0.0,0.0,
kecewa aja liat polisi,sedih,sadness,0.7,-0.7,kecewa
terima kasih polisi wakil,senang,sadness,0.0,0.0,
terima kasih polisi keras jaga batas laut,senang,sadness,0.0,0.0,
kecewa banget sikap polisi,sedih,sadness,0.7,-0.7,kecewa
keren polisi indonesia,senang,sadness,0.0,0.0,
prihatin polisi jujur adil minim,percaya,sadness,0.0,0.0,
integritas polisi pondasi utama percaya publik,netral,sadness,0.0,0.0,
gue polisi juang rakyat penting,percaya,sadness,0.0,0.0,
polisi solusi tambah,sedih,sadness,0.0,0.0,
seviral tindak,sedih,sadness,0.0,0.0,
percaya polisi transparan tangan,netral,sadness,0.0,0.0,
bangga kinerja polisi,senang,joy,0.8,0.8,bangga
polisi hadir lindung sumber takut,takut,fear,0.0,0.0,
moga layan polisi depan,netral,sadness,0.0,0.0,
salut bangga kinerja polisi berantas kriminalitas,senang,joy,0.8,0.8,bangga
untuk polisi jujur adil maksimal ucap terimakasih,percaya,sadness,0.0,0.0,
salut polisi tolong sopir truk kontainer pingsan,senang,sadness,0.0,0.0,
ngeri berani bicara kriminalisasi,takut,fear,0.0,0.0,
terima kasih polri upaya hormat jasa pahlawan,senang,sadness,0.0,0.0,
citra bukti benar kerja,marah,sadness,0.0,0.0,
polisi jaga adil,percaya,sadness,0.0,0.0,
dendam lihat polisi indak semena pena,marah,anger,0.9,-0.9,dendam
gaji pajak rakyat hancur percaya rakyat,marah,sadness,0.0,0.0,
dendam lihat polisi bebas hukum bukti salah,marah,anger,0.9,-0.9,dendam
polisi lambat tindak takut kasus hilang,sedih,fear,0.0,0.0,
susah percaya sistem hukum jalan aja tidak sikap adil,marah,sadness,0.0,0.0,
takut dite habis habis,takut,fear,0.0,0.0,
sedih hukum tajam,sedih,anger,0.8,-0.8,sedih
takut polisi jahat,takut,fear,0.0,0.0,
jadi tidak masuk akal bikin takut,takut,fear,0.0,0.0,
brengsek rakyat korban,marah,sadness,0.0,0.0,
aneh orang kaya kena hukum lunak banget,takut,sadness,0.0,0.0,
polisi jujur amanah keren banget moga kayak gitu,percaya,sadness,0.0,0.0,
lembaga negara percaya polisi,percaya,sadness,0.0,0.0,
polisi janji baik citra nyata,sedih,joy,0.1,0.1,baik
aman polisi jaga aman nyaman masyarakat,senang,sadness,0.0,0.0,
muak citra aksi nyata,marah,sadness,0.0,0.0,
rakyat anggap musuh,sedih,sadness,0.0,0.0,
janji tinggal janji praktek nol,marah,sadness,0.0,0.0,
polisi tindak adil percaya publik,percaya,sadness,0.0,0.0,
sistem emang udah bobrok,marah,sadness,0.0,0.0,
lapor butuh proses,takut,sadness,0.0,0.0,
