kata,label,probabilitas
abadi,anger,0.0008112634754658944
abai,anger,0.002413745914636792
abar,anger,0.001137186049045833
abdi,anger,0.0008112634754658944
acara,anger,0.0008112634754658944
acu,anger,0.0008112634754658944
acung,anger,0.0008112634754658944
ada,anger,0.0008112634754658944
adaptasi,anger,0.0008112634754658944
adi,anger,0.0013313603270439837
adil,anger,0.004954993687756564
administrasi,anger,0.0008112634754658944
adu,anger,0.0008112634754658944
ahmad,anger,0.0008112634754658944
aja,anger,0.00487482346862564
ajak,anger,0.0008112634754658944
ajar,anger,0.001262987718295466
aju,anger,0.0008112634754658944
akal,anger,0.0008112634754658944
akibat,anger,0.0008112634754658944
akses,anger,0.0008112634754658944
aksi,anger,0.001264165271166593
aktif,anger,0.0008112634754658944
akting,anger,0.001140178617302631
aktivitas,anger,0.0008112634754658944
aku,anger,0.0008112634754658944
akun,anger,0.0008112634754658944
akuntabel,anger,0.0008112634754658944
alam,anger,0.0008112634754658944
alas,anger,0.0030575475825387597
alat,anger,0.0008112634754658944
alhamdulillah,anger,0.0011430036304340414
allah,anger,0.0008112634754658944
amai,anger,0.0013253324126477712
aman,anger,0.002182236627215261
amanah,anger,0.0008112634754658944
ambil,anger,0.0008112634754658944
amburadul,anger,0.0012746101590206602
anak,anger,0.0008112634754658944
ancam,anger,0.0008112634754658944
andai,anger,0.0008112634754658944
andal,anger,0.0008112634754658944
aneh,anger,0.0011442039591880125
anggap,anger,0.0017673724313600869
anggota,anger,0.0008112634754658944
angin,anger,0.0008112634754658944
angkat,anger,0.0008112634754658944
aniaya,anger,0.0008112634754658944
antarinstansi,anger,0.0008112634754658944
aparat,anger,0.002420193862147441
apresiasi,anger,0.0008112634754658944
arah,anger,0.0008112634754658944
arti,anger,0.001262987718295466
arus,anger,0.0008112634754658944
aset,anger,0.0008112634754658944
asih,anger,0.0012295040743465523
aspek,anger,0.0008112634754658944
aspirasi,anger,0.0008112634754658944
astaga,anger,0.0008112634754658944
atas,anger,0.0008112634754658944
atlet,anger,0.0011645699315228056
atur,anger,0.0011941736911900097
auto,anger,0.0008112634754658944
awas,anger,0.0008112634754658944
ayo,anger,0.0008112634754658944
ayom,anger,0.0008112634754658944
baca,anger,0.0008112634754658944
bae,anger,0.0008112634754658944
bagi,anger,0.0008112634754658944
bagus,anger,0.0008112634754658944
bahagia,anger,0.0008112634754658944
bahan,anger,0.0008112634754658944
baik,anger,0.0008112634754658944
baju,anger,0.0008112634754658944
bakti,anger,0.0008112634754658944
banget,anger,0.0035699078899628406
bangga,anger,0.0015456308881494202
bangsa,anger,0.0008112634754658944
bangsat,anger,0.0014806153348743158
bangun,anger,0.0008112634754658944
bantu,anger,0.0012104617310424903
bantun,anger,0.0008112634754658944
barang,anger,0.0011655484942733765
basa,anger,0.0008112634754658944
basi,anger,0.0008112634754658944
batal,anger,0.0008112634754658944
batas,anger,0.0008112634754658944
bawa,anger,0.0008112634754658944
bawaslu,anger,0.0008112634754658944
bayang,anger,0.0008112634754658944
bayar,anger,0.0019417970515787576
beban,anger,0.0008112634754658944
bebas,anger,0.0032380678923894365
becus,anger,0.0016903099217027346
beda,anger,0.0008112634754658944
begini,anger,0.0012205740010365273
bela,anger,0.0008112634754658944
belanja,anger,0.0008112634754658944
beli,anger,0.0015281745252222678
belok,anger,0.0008112634754658944
benah,anger,0.0008112634754658944
benar,anger,0.004025770927434343
benci,anger,0.0025677876174969713
bengong,anger,0.0008112634754658944
bentuk,anger,0.0008112634754658944
berani,anger,0.0008112634754658944
berantas,anger,0.0008112634754658944
berat,anger,0.0011074805619617249
beratmya,anger,0.0011899625726642035
beres,anger,0.0008112634754658944
berita,anger,0.002726177971102181
berkat,anger,0.0008112634754658944
bersih,anger,0.0008112634754658944
besar,anger,0.0008112634754658944
biadab,anger,0.0011507096368253869
biang,anger,0.0016057368651768167
biar,anger,0.002276483083480178
biasa,anger,0.0008112634754658944
biaya,anger,0.0008112634754658944
bicara,anger,0.0008112634754658944
bidang,anger,0.0008112634754658944
bijak,anger,0.0008112634754658944
bijaksana,anger,0.0008112634754658944
bikin,anger,0.004344345906072515
bilang,anger,0.0018845055829962453
bina,anger,0.0008112634754658944
bingung,anger,0.0008112634754658944
bobrok,anger,0.0021288926549420835
bongkar,anger,0.0008112634754658944
bos,anger,0.001523697015861469
bosan,anger,0.0020607525916721786
box,anger,0.0008112634754658944
brengsek,anger,0.004545168043184031
bu,anger,0.0008112634754658944
buat,anger,0.0008112634754658944
buka,anger,0.0008112634754658944
bukti,anger,0.0031551250744753638
buku,anger,0.0008112634754658944
bulu,anger,0.0008112634754658944
bumerang,anger,0.0008112634754658944
bungkam,anger,0.0008112634754658944
buruk,anger,0.0028500636989644353
butuh,anger,0.0017010076099731194
cabul,anger,0.0008112634754658944
cakup,anger,0.0008112634754658944
canda,anger,0.0008112634754658944
capek,anger,0.00201720764147225
cari,anger,0.0022150676547670746
cegah,anger,0.0008112634754658944
cek,anger,0.0008112634754658944
celaka,anger,0.0008112634754658944
cemas,anger,0.0008112634754658944
cepat,anger,0.0012092165837706216
cerah,anger,0.0008112634754658944
cerdas,anger,0.0008112634754658944
cerita,anger,0.0008112634754658944
cinta,anger,0.0008112634754658944
cipta,anger,0.0008112634754658944
citra,anger,0.0020959272294424278
clear,anger,0.0008112634754658944
coba,anger,0.0012183295097088088
contoh,anger,0.0013587100576665273
curiga,anger,0.0012177216848333154
daerah,anger,0.0008112634754658944
dagang,anger,0.001257049774976598
dalam,anger,0.0008112634754658944
damai,anger,0.0008112634754658944
dampak,anger,0.0008112634754658944
darurat,anger,0.0008112634754658944
dasar,anger,0.0008112634754658944
dedikasi,anger,0.0008112634754658944
deg,anger,0.0008112634754658944
degan,anger,0.0008112634754658944
deh,anger,0.0015327645705275857
demo,anger,0.0011344737354875203
demonstrasi,anger,0.0008112634754658944
dendam,anger,0.0030818869747847185
dengar,anger,0.0015120215668150748
depan,anger,0.0008112634754658944
derita,anger,0.0008112634754658944
dhani,anger,0.0008112634754658944
diam,anger,0.001309885565195249
didik,anger,0.0008112634754658944
digital,anger,0.0008112634754658944
dipindahtugaskan,anger,0.0008112634754658944
diputarbalikkan,anger,0.0008112634754658944
diri,anger,0.0008112634754658944
disiplin,anger,0.0008112634754658944
diskriminasi,anger,0.0008112634754658944
dite,anger,0.002259976173353902
ditekan,anger,0.0013018157094807955
ditindaklanjuti,anger,0.0008112634754658944
doang,anger,0.0018634028780779596
dobel,anger,0.0008112634754658944
