"text","emotion"
"Hah serius ini polisi kita bisa secepat itu nangani kasusnya?,","shock"
"Nggak nyangka banget, biasanya lama, ini kok langsung diusut sih?,","shock"
"Baru aja viral kemarin, sekarang udah ditangkap aja pelakunya?,","shock"
"Wah ini mengejutkan sih, ternyata bisa juga ya polisi bergerak cepat,","shock"
"Gue kira bakal mandek kayak kasus-kasus sebelumnya, ternyata lanjut juga,","shock"
"Lah kok bisa ketahuan secepat itu sih, biasanya susah banget,","shock"
"Astaga, baru liat beritanya langsung rame soal penangkapan,","shock"
"Nggak percaya kalau polisi kita bisa setegas ini, tumben banget,","shock"
"Lah yang ngelapor kok malah diproses, kaget parah,","shock"
"Baru kali ini gue liat kasus viral beneran ditindak sama aparat,","shock"
"Beneran kaget pas baca beritanya, cepet banget penanganannya,","shock"
"Tadi gue kira hoaks, ternyata beneran ditangkap juga,","shock"
"Nggak biasanya secepat ini, biasanya harus nunggu heboh dulu,","shock"
"Serius ini polisi kita? Beneran nangkep tanpa nunggu viral dulu?,","shock"
"Gue sampe baca dua kali, nggak percaya sama headline-nya,","shock"
"Biasanya kasus kayak gini diabaikan, ini malah langsung diproses,","shock"
"Bikin kaget banget, kok bisa secepat ini?,","shock"
"Kok tumben ya polisi bisa langsung gerak begini, biasanya lama,","shock"
"Baru tadi rame, sekarang udah ada konferensi pers aja,","shock"
"Kaget beneran, nggak nyangka polisi langsung turun tangan,","shock"
"Gue masih gak percaya ini beneran ditindak sama polisi secepat itu,","shock"
"Tumben banget geraknya cepet, ada angin apa nih?,","shock"
"Eh sumpah baru semalem rame, sekarang udah diproses aja,","shock"
"Lah serius? Biasanya butuh waktu berminggu-minggu buat nanggepin,","shock"
"Ini beneran gak sih? Kayak bukan polisi yang biasa gue lihat kerjanya,","shock"
"Gue kira bercanda tadi, ternyata beneran kejadian,","shock"
"Pas baca beritanya langsung bengong, gak nyangka sama sekali,","shock"
"Kok bisa ya mereka langsung bertindak? Gue shock jujur,","shock"
"Biasanya diem-diem bae, ini kok cepet amat sih?,","shock"
"Jujur kaget banget, ini polisi kita makin pro atau gimana nih,","shock"
"Gue gak nyangka akhirnya diusut juga, padahal udah pesimis,","shock"
"Sampai sekarang masih heran kok bisa secepat itu prosesnya,","shock"
"Beneran gak nyangka sama keputusan yang diambil polisi kali ini,","shock"
"Gue bahkan belum sempat update berita, udah selesai kasusnya,","shock"
"Ini semacam keajaiban, biasanya lambat banget prosesnya,","shock"
"Baru mau komentar, eh udah kelar urusannya sama polisi,","shock"
"Kaget sih, soalnya ini gak biasa banget buat aparat secepat ini,","shock"
"Baru beberapa jam viral, sekarang udah diklarifikasi polisi,","shock"
"Gue sampe nyari berita ke sumber lain, gak percaya awalnya,","shock"
"Ini kalau bukan liat sendiri beritanya, gue pasti ngira hoaks,","shock"
"Gak biasanya secepat ini sih, gue sampe mikir dua kali,","shock"
"Tiba-tiba udah ditangkap aja, padahal baru kemarin rame,","shock"
"Ini beneran kejadian atau cuma prank netizen doang?,","shock"
"Gak nyangka sama sekali, langsung diusut tanpa nunggu viral lama-lama,","shock"
"Biasanya nunggu ribut dulu baru gerak, sekarang kok beda ya?,","shock"
"Baru liat komennya pagi ini, sore udah keluar hasil penyelidikan,","shock"
"Gue kira ini bakal jadi kasus yang gak selesai lagi, ternyata lanjut,","shock"
"Shock parah, biasanya beritanya hilang gitu aja,","shock"
"Seriusan ini polisi kita? Geraknya cepat dan tepat?,","shock"
"Sampai mikir ini kerjaan netizen, eh ternyata polisi beneran yang turun,","shock"
"Kaget bener, biasanya harus demo dulu baru didengar,","shock"
"Gak masuk akal sih secepat ini, gue heran juga jujur,","shock"
"Baru kali ini rasanya bangga sama kinerja polisi,","shock"
"Pas liat headline-nya langsung mikir ini pasti editan,","shock"
"Gue sampai baca ulang dua kali buat pastiin beritanya bener,","shock"
"Ini yang nangani siapa sih? Kok beda banget kecepatannya,","shock"
"Gak biasanya polisi langsung tanggap kayak gini, kaget sih,","shock"
"Baru denger kasusnya kemarin, sekarang udah masuk proses hukum,","shock"
"Gue gak percaya sampai nanya temen, takut salah baca,","shock"
"Ternyata masih ada harapan ya buat penegakan hukum di negeri ini,","shock"
"Eh serius dong ini udah ditindak? Kirain cuma heboh di medsos doang,","shock"
"Lah baru kemarin rame di TikTok, sekarang udah ada tindakan?,","shock"
"Sumpah gak nyangka, ini cepet banget sih buat ukuran polisi,","shock"
"Tadi scroll medsos masih rame, sekarang pelakunya udah ketangkep,","shock"
"Buset, biasanya butuh petisi dulu baru gerak, ini mah langsung,","shock"
"Gue kira bakal masuk angin, ternyata malah langsung masuk proses hukum,","shock"
"Kok bisa ya seefektif ini? Kaget beneran gue,","shock"
"Beneran kejutan dari pihak kepolisian sih, gak nyangka banget,","shock"
"Ini kalau bukan viral gak mungkin secepet ini sih, tapi tetep kaget,","shock"
"Baru pertama kali liat respons secepat kilat dari polisi,","shock"
"Biasanya viral sampe 3 hari baru ditindak, ini mah baru semalem,","shock"
"Astaga baru aja lihat beritanya, kok udah diproses juga,","shock"
"Langsung ditangani? Ini kejutan terbesar minggu ini,","shock"
"Awalnya gak percaya, tapi ternyata udah ada tindakan nyata,","shock"
"Baru kali ini netizen dibuat speechless sama kinerja polisi,","shock"
"Beneran kejutan dari pihak berwenang, salut dan kaget,","shock"
"Gak percaya banget sih, biasanya lamban banget urusannya,","shock"
"Lho kok bisa langsung ditindak? Tumben banget,","shock"
"Kaget sih, ternyata gak cuma janji doang,","shock"
"Gue sempet mikir ini bakal tenggelam, ternyata enggak,","shock"
"Nggak biasanya secepat ini, ada perubahan apa nih?,","shock"
"Tadi pagi liat videonya, sorenya udah keluar tindakan hukum,","shock"
"Gue kira bakalan ribet kayak biasanya, ini malah langsung tuntas,","shock"
"Gak nyangka sama kecepatan polisi kali ini, out of the box banget,","shock"
"Apa jangan-jangan akun medsos mereka ikut monitor juga ya?,","shock"
"Bisa gitu ya geraknya, gue sampe mikir ini bukan polisi Indonesia,","shock"
"Gue kira mimpi, ternyata beneran udah ditindak,","shock"
"Heran juga, kasus lain aja butuh waktu lama, ini kok langsung,","shock"
"Fix ini paling cepet sih penanganan kasus yang pernah gue liat,","shock"
"Awalnya skeptis, tapi beneran ditindak juga akhirnya,","shock"
"Gue bacanya sambil ngucek mata, kaget beneran,","shock"
"Ini nyata? Kok bisa secepat ini? Gak kebayang sih,","shock"
"Baru kali ini gue bilang: wah keren juga aparatnya,","shock"
"Tiba-tiba aja muncul hasil penyelidikan, cepet amat,","shock"
"Pas lihat berita gue kira editan, ternyata beneran ada progres,","shock"
"Gak ada angin gak ada hujan, tau-tau udah ditangkap,","shock"
"Ini pasti banyak yang kaget juga kayak gue, serius deh,","shock"
"Seketika gue percaya kalau polisi bisa juga kok kerja cepat,","shock"
"Gue sampai mikir ada yang hack sistemnya, kok bisa secepat ini,","shock"
