kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
masyarakat kecewa polisi,sadness,sadness,0.7,-0.7,kecewa
statistik,netral,sadness,0.0,0.0,
viral udah langsung kembang signifikan,shock,sadness,0.0,0.0,
takut polisi takut jahat,fear,fear,0.0,0.0,
tidak kunjung selesai bukti sistem udah gagal total,anger,sadness,0.0,0.0,
layan percaya masyarakat,netral,sadness,0.0,0.0,
polisi patroli rasa tidak tenang,fear,sadness,0.0,0.0,
viral langsung kabar mantap banget,shock,sadness,0.0,0.0,
gue heran cepat tangan,shock,sadness,0.0,0.0,
teknologi polisi bantu selidik,netral,sadness,0.0,0.0,
sedih polisi lindung rakyat kecewa,sadness,sadness,0.75,-0.75,"sedih, kecewa"
hukum jalan polisi,netral,sadness,0.0,0.0,
polisi pilar adil negeri,trust,sadness,0.0,0.0,
polisi adil bikin masyarakat bahagia,joy,joy,1.0,1.0,bahagia
masyarakat bangga polisi profesional,joy,joy,0.8,0.8,bangga
polisi transparan bukti maju tegak hukum negeri,trust,sadness,0.0,0.0,
polisi milik peran aman giat masyarakat,netral,sadness,0.0,0.0,
bangga polisi simpati orang,joy,joy,0.8,0.8,bangga
kadang takut hukum pihak kuasa,fear,fear,0.0,0.0,
keluarga tabrak lari kecewa lapor polisi direspon,sadness,sadness,0.7,-0.7,kecewa
dendam lihat polisi indak semena pena,anger,anger,0.9,-0.9,dendam
polisi lindung tambah takut,fear,fear,0.0,0.0,
kesel banget tangkap salah main gertak rakyat,fear,sadness,0.0,0.0,
jam aja udah tindak mantap,shock,sadness,0.0,0.0,
takut korban tidak adil laku bebas keliar,fear,fear,0.0,0.0,
gue percaya polisi profesional kerja penting pribadi,trust,sadness,0.0,0.0,
ajaib lambat banget proses,shock,sadness,0.0,0.0,
tidak cepat ubah internal,shock,sadness,0.0,0.0,
bangga polisi layan rakyat penuh hati,joy,joy,0.8,0.8,bangga
bangga polisi depan integritas tugas,trust,joy,0.8,0.8,bangga
serius polisi oke aja kerja,shock,joy,0.1,0.1,oke
tegak hukum adil polisi jujur,trust,sadness,0.0,0.0,
polisi jujur tulus maaf,trust,sadness,0.0,0.0,
sedih hukum kertas,sadness,sadness,0.8,-0.8,sedih
evaluasi kinerja tingkat layan,netral,sadness,0.0,0.0,
integritas polisi tentu hukum negeri,trust,sadness,0.0,0.0,
tidak polisi langsung tanggap kayak begini kaget sih,shock,sadness,0.0,0.0,
polisi tertib mobil kacau jalan,netral,sadness,0.0,0.0,
terima kasih polri upaya hormat jasa pahlawan,joy,sadness,0.0,0.0,
mukjizat viral langsung beres,shock,sadness,0.0,0.0,
dikit damai hukum,trust,sadness,0.0,0.0,
sih tidak malu ragam,anger,sadness,0.0,0.0,
polisi transparan profesional percaya masyarakat tingkat,netral,sadness,0.0,0.0,
adil urus polisi,fear,sadness,0.0,0.0,
sedih lenyap,sadness,sadness,0.8,-0.8,sedih
kaget banget cepat tangan kasus,shock,sadness,0.0,0.0,
lihat ragam bikin marah bangga,anger,anger,0.8,0.0,"marah, bangga"
gue canda benar jadi,shock,sadness,0.0,0.0,
gue percaya polisi bukti emang serius jaga adil,trust,sadness,0.0,0.0,
kaget pas baca berita tidak sangka langsung hasil,shock,sadness,0.0,0.0,pas
proses moga tangan,netral,sadness,0.0,0.0,
jiwa raga manusia terima kasih polri peduli,joy,sadness,0.0,0.0,
senang polisi dengar keluh kesah masyarakat ayom masyarakat,joy,joy,0.8,0.8,senang
lapor takut tidak proses,fear,fear,0.0,0.0,
miris masyarakat takut percaya aparat,sadness,fear,0.0,0.0,
tidak sangka langsung usut tunggu viral,shock,sadness,0.0,0.0,
tidak sih kerja pakai hati nurani,trust,sadness,0.0,0.0,
susah banget cari polisi jujur kecewa banget,sadness,sadness,0.7,-0.7,kecewa
khawatir urus polisi hasil kali tebak,fear,fear,0.0,0.0,
hebat kinerja polisi tangkap laku kriminal,joy,sadness,0.0,0.0,
polisi jujur adil sopan ramah,trust,sadness,0.0,0.0,
layan publik optimal prioritas utama polisi,netral,sadness,0.0,0.0,
koordinasi kait tingkat efektivitas tegak hukum,netral,sadness,0.0,0.0,
benci kinerja polisi curi motor mobil,anger,anger,1.0,-1.0,benci
kinerja polisi puas evaluasi,netral,joy,0.7,0.7,puas
sok kerja rugi rakyat,anger,sadness,0.0,0.0,
polisi bantu rumit,joy,sadness,0.0,0.0,
polisi hati percaya,trust,sadness,0.0,0.0,
lapor viral proses miris,sadness,sadness,0.0,0.0,
individu polisi tanggung jaga citra institusi,trust,sadness,0.0,0.0,
polisi harap rakyat adil,trust,sadness,0.0,0.0,
polisi lindung sumber sedih,sadness,sadness,0.8,-0.8,sedih
kecewa aja liat polisi,shock,sadness,0.7,-0.7,kecewa
polisi disiplin profesional bangga bangsa,joy,joy,0.8,0.8,bangga
korban tunggu pasti polisi lamban,sadness,sadness,0.0,0.0,
percaya kinerja polisi,trust,sadness,0.0,0.0,
mantap polisi matang lebaran,joy,sadness,0.0,0.0,
hilang seram banget sistem,fear,fear,0.0,0.0,
polisi amanah adil hormat rakyat,trust,sadness,0.0,0.0,
percaya polisi tangan cepat,netral,sadness,0.0,0.0,
dendam polisi hati nurani,trust,anger,0.9,-0.9,dendam
kadang pilih diam lapor polisi takut sulit curiga,fear,fear,0.0,0.0,
bangga polisi berani lawan praktik korupsi,trust,joy,0.8,0.8,bangga
serius hoaks cepat banget tindak,shock,sadness,0.0,0.0,
benar jadi prank netizen doang,shock,sadness,0.0,0.0,
bulan hitung doang,shock,sadness,0.0,0.0,
benci banget sistem adil,anger,anger,1.0,-1.0,benci
kaget sih tidak banget aparat cepat,shock,sadness,0.0,0.0,
salah masyarakat tidak percaya liat kinerja,anger,sadness,0.0,0.0,
laku kayak preman hormat gimana rakyat respek,anger,sadness,0.0,0.0,
polisi jujur amanah keren banget moga kayak gitu,trust,sadness,0.0,0.0,
gue percaya polisi kerja cepat,shock,sadness,0.0,0.0,
benci banget sistem hukum bobrok,anger,anger,1.0,-1.0,benci
