kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
terima kasih jajar polri indonesia,senang,sadness,0.0,0.0,
tidak polisi buruk benar adil,marah,sadness,0.0,0.0,
salah tangkap bikin aja kena,takut,sadness,0.0,0.0,
takut hukum tajam,takut,fear,0.0,0.0,
sedih lihat korban tidak adil,sedih,sadness,0.8,-0.8,sedih
polisi milik peran jaga aman tertib,netral,sadness,0.0,0.0,
harap polisi adil takut mimpi,takut,fear,0.0,0.0,
partisipasi publik awas bantu jaga kredibilitas polisi,netral,sadness,0.0,0.0,
susah percaya lapor polisi proses,netral,sadness,0.0,0.0,
disiplin internal polisi jaga integritas institusi,percaya,sadness,0.0,0.0,
terima kasih polisi bantu aman,senang,sadness,0.0,0.0,
jengkel lihat polisi main keras,marah,anger,0.6,-0.6,jengkel
percaya rakyat polisi kuat jujur,percaya,sadness,0.0,0.0,
terima kasih kapolres masyarakat terima kasih bantun,senang,sadness,0.0,0.0,
udah bosan dengar alas klasik,marah,sadness,0.0,0.0,
takut lapor gue kena,takut,fear,0.0,0.0,
terima kasih kapolresta peduli fasilitas publik,senang,sadness,0.0,0.0,
gue percaya polisi berani lawan korupsi dalam,percaya,sadness,0.0,0.0,
sedih hilang nyawa jelas hukum,sedih,sadness,0.8,-0.8,sedih
adil kuasa,takut,sadness,0.0,0.0,
gimana rakyat percaya salah lindung ditekan,takut,sadness,0.0,0.0,
percaya polisi jujur semangat benar kerja,percaya,sadness,0.0,0.0,
aman sih salah kuasa,takut,sadness,0.0,0.0,
polisi kerja hati percaya masyarakat,percaya,sadness,0.0,0.0,
kecewa berani bicara bungkam,takut,sadness,0.7,-0.7,kecewa
harap polisi komitmen berantas bentuk jahat,percaya,sadness,0.0,0.0,
salut kinerja polisi tanggap selesai,senang,sadness,0.0,0.0,
tugas polisi berat moga depan,netral,sadness,0.0,0.0,
masyarakat polisi dukung lingkung aman,netral,sadness,0.0,0.0,
senang jujur integritas kuat tubuh polisi,percaya,joy,0.8,0.8,senang
polisi mesti berani jujur laku adil,percaya,sadness,0.0,0.0,
profesional hormat,percaya,sadness,0.0,0.0,
kadang takut polisi jahat,takut,fear,0.0,0.0,
respons cepat tangan lapor tingkat percaya masyarakat,netral,sadness,0.0,0.0,
teknologi bantu tingkat efektivitas kinerja polisi layan publik,netral,sadness,0.0,0.0,
rakyat tangis pasti hukum,sedih,sadness,0.0,0.0,
percaya reformasi polisi bawa dampak positif hukum,percaya,sadness,0.0,0.0,
percaya hukum pasrah sistem udah rusak,marah,sadness,0.0,0.0,
bosan liat berita polisi korup benar,marah,sadness,0.0,0.0,
polisi cepat tindak viral,sedih,sadness,0.0,0.0,
ruang baik sistem,netral,joy,0.1,0.1,baik
tidak kunjung selesai bukti sistem udah gagal total,marah,sadness,0.0,0.0,
protes takut akibat,takut,fear,0.0,0.0,
dendam polisi hati nurani,percaya,anger,0.9,-0.9,dendam
polisi isi oknum,marah,sadness,0.0,0.0,
moga koordinasi polisi masyarakat kuat,netral,sadness,0.0,0.0,
hati sakit jahat biar,sedih,sadness,0.0,0.0,
gaji gede laku tidak bangga,marah,joy,0.8,0.8,bangga
polisi cepat tanggap tugas inspirasi,senang,sadness,0.0,0.0,
takut polisi takut jahat,takut,fear,0.0,0.0,
terima kasih polisi siaga bantu masyarakat mari waspada,senang,sadness,0.0,0.0,
senang polisi jujur tanggung tugas,percaya,joy,0.8,0.8,senang
polisi responsif lapor warga,netral,sadness,0.0,0.0,
polisi manusia,netral,sadness,0.0,0.0,
institusi polisi adaptasi kembang zaman,netral,sadness,0.0,0.0,
seram adil negosiasi,takut,fear,0.0,0.0,
benci banget sistem hukum bobrok,marah,anger,1.0,-1.0,benci
