kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
kadang takut hukum pihak kuasa,fear,fear,0.0,0.0,
kecewa polisi henti kepala sekolah cabul,sadness,sadness,0.7,-0.7,kecewa
lho iya ubah kejut,shock,sadness,0.0,0.0,
serius butuh minggu minggu tanggap,shock,sadness,0.0,0.0,
prosedur tangan acu hukum laku,netral,sadness,0.0,0.0,
lapor masyarakat proses suai tentu hukum,netral,sadness,0.0,0.0,
polisi lindung tambah takut,fear,fear,0.0,0.0,
takut korban tidak adil laku bebas keliar,fear,fear,0.0,0.0,
bosan lihat sok benar kamera,anger,sadness,0.0,0.0,
polisi milik tugas utama tegak hukum jaga tertib,netral,sadness,0.0,0.0,
hilang seram banget sistem,fear,fear,0.0,0.0,
lapor tindak nyata,fear,sadness,0.0,0.0,
polisi jujur,trust,sadness,0.0,0.0,
korban juang cari adil,sadness,sadness,0.0,0.0,
kinerja polisi evaluasi kala biar optimal,netral,sadness,0.0,0.0,
hukum jalan polisi penuh tanggung,trust,sadness,0.0,0.0,
fix cepat sih tangan gue liat,shock,sadness,0.0,0.0,
kecewa banget polisi,sadness,sadness,0.7,-0.7,kecewa
gue sampe baca kali tidak percaya headline nya,shock,sadness,0.0,0.0,
polisi patroli rasa tidak tenang,fear,sadness,0.0,0.0,
polisi usaha,sadness,sadness,0.0,0.0,
polisi solusi tambah,sadness,sadness,0.0,0.0,
apresiasi polisi jasa bongkar menarkoba,joy,sadness,0.0,0.0,
kerja penting mending mundur aja,anger,sadness,0.0,0.0,
berani lapor takut sangka,fear,fear,0.0,0.0,
polisi benah cinta rakyat,trust,joy,1.0,1.0,cinta
aneh orang kaya kena hukum lunak banget,fear,sadness,0.0,0.0,
kerja polisi lingkung kondusif,trust,sadness,0.0,0.0,
polisi tertib mobil kacau jalan,netral,sadness,0.0,0.0,
polisi jujur adil sopan ramah,trust,sadness,0.0,0.0,
terima kasih polisi sehat,joy,sadness,0.0,0.0,
takut polisi takut jahat,fear,fear,0.0,0.0,
aman sih salah kuasa,fear,sadness,0.0,0.0,
tahu cepat sih susah banget,shock,sadness,0.0,0.0,
terima kasih polisi peduli bersih indah kota,joy,sadness,0.0,0.0,
nama respons cepat bikin kejut gue,shock,sadness,0.0,0.0,
kecewa kinerja polisi harap baik,sadness,sadness,0.39999999999999997,-0.3,"kecewa, baik"
lapor takut tidak proses,fear,fear,0.0,0.0,
polisi lindung rakyat,anger,sadness,0.0,0.0,
deg degan temu razia tidak salah,fear,sadness,0.0,0.0,
emosi banget senyap,anger,sadness,0.0,0.0,
mantap terima kasih polisi tangkap laku,joy,sadness,0.0,0.0,
polisi fungsi,netral,sadness,0.0,0.0,
lapor biar,fear,sadness,0.0,0.0,
kolaborasi instansi tingkat efektivitas tegak hukum,netral,sadness,0.0,0.0,
hukum tegak dasar atur tetap,netral,sadness,0.0,0.0,
rakyat anggap musuh,sadness,sadness,0.0,0.0,
kecewa tindak polisi,sadness,sadness,0.7,-0.7,kecewa
polisi adil bikin masyarakat bahagia,joy,joy,1.0,1.0,bahagia
langsung tangan gue sampe pikir kali benar,shock,sadness,0.0,0.0,
kinerja polisi,sadness,sadness,0.0,0.0,
jengkel kali lihat berita,anger,anger,0.6,-0.6,jengkel
terima kasih polisi inspirasi,joy,sadness,0.0,0.0,
aman bayar rakyat janji palsu,anger,sadness,0.0,0.0,
tidak kamera sosial media tenggelam,anger,sadness,0.0,0.0,
putus ambil polisi sungguh kecewa cermin adil,sadness,sadness,0.7,-0.7,kecewa
kecewa polisi,sadness,sadness,0.7,-0.7,kecewa
gue percaya polisi profesional kerja penting pribadi,trust,sadness,0.0,0.0,
masyarakat bangga polisi profesional,joy,joy,0.8,0.8,bangga
pagi lihat update sore kembang signifikan,shock,sadness,0.0,0.0,
bangga kinerja polisi,joy,joy,0.8,0.8,bangga
pas baca berita gue kaget banget tidak sangka,shock,sadness,0.0,0.0,pas
benci banget lihat polisi becus,anger,anger,1.0,-1.0,benci
takut bukti tindak,fear,fear,0.0,0.0,
polisi jujur bikin hati tenang,joy,sadness,0.0,0.0,
sistem emang udah bobrok,anger,sadness,0.0,0.0,
rahasia hilang motor lapor polisi hilang mobil biadab,fear,sadness,0.0,0.0,
moga polisi profesional tugas,netral,sadness,0.0,0.0,
serius berita hoaks cepat banget,shock,sadness,0.0,0.0,
pakai ragam doang laku kaya preman jalan,anger,sadness,0.0,0.0,
polisi cari laku keren banget,anger,sadness,0.0,0.0,
kali gue bilang keren aparat,shock,sadness,0.0,0.0,
polisi jalan tugas independen intervensi,netral,sadness,0.0,0.0,
kemarin ramai udah hasil selidik,shock,sadness,0.0,0.0,
terima kasih polres serang jaga kondusifitas kota,joy,sadness,0.0,0.0,
polisi responsif lapor warga,netral,sadness,0.0,0.0,
garang urus rakyat berani tidak lawan,fear,sadness,0.0,0.0,
polisi adaptasi kembang zaman biar efektif,netral,sadness,0.0,0.0,
takut kena salah,fear,fear,0.0,0.0,
lapor hilang motor udah ikhlas aja serius,fear,sadness,0.0,0.0,
polisi takut sih,fear,fear,0.0,0.0,
gede ujung ujung rakyat suruh abar tidak hasil,anger,sadness,0.0,0.0,
percaya rakyat polisi kuat jujur,trust,sadness,0.0,0.0,
layan publik maksimal harap warga polisi,netral,sadness,0.0,0.0,
suluh aman bantu tingkat sadar hukum masyarakat,netral,sadness,0.0,0.0,
udah rusak sistem tidak percaya,anger,sadness,0.0,0.0,
harap hukum main,sadness,sadness,0.0,0.0,
polisi amanah adil hormat rakyat,trust,sadness,0.0,0.0,
udah orang korban salah tangkap ngeri,fear,fear,0.0,0.0,
korban tunggu pasti polisi lamban,sadness,sadness,0.0,0.0,
contoh buruk laku,trust,sadness,0.0,0.0,
takut lihat berita aparat suka hukum,fear,joy,0.7,0.7,suka
percaya polisi tangan cepat,shock,sadness,0.0,0.0,
salut polisi benar adil,trust,sadness,0.0,0.0,
korban polisi benar tindak,sadness,sadness,0.0,0.0,
haru polisi bantu warga,joy,sadness,0.6,-0.6,haru
polisi pilar adil negeri,trust,sadness,0.0,0.0,
polisi hati nurani,trust,sadness,0.0,0.0,
polisi milik tugas jaga aman situasi,netral,sadness,0.0,0.0,
tolong bukti hoax bukti valid biar rakyat percaya,anger,sadness,0.0,0.0,
tugas sih laku tidak suai harap rakyat,anger,sadness,0.0,0.0,
polisi pamrih pahlawan jati bangsa,trust,sadness,0.0,0.0,
terima kasih saran polisi,joy,sadness,0.0,0.0,
takut polisi jahat,fear,fear,0.0,0.0,
polisi prinsip jujur dukung,trust,sadness,0.0,0.0,
susah percaya sistem hukum jalan aja tidak sikap adil,anger,sadness,0.0,0.0,
kesal lihat hilang,anger,anger,0.5,-0.5,kesal
percaya rakyat mahal tidak dapat kerja hati,trust,sadness,0.0,0.0,
polisi transparan tangan,netral,sadness,0.0,0.0,
tampil henti polisi sheila on kecewa toleransi aparat,sadness,sadness,0.7,-0.7,kecewa
takut suara rakyat bungkam mudah,fear,fear,0.0,0.0,
percaya hukum tegak pandang bulu,trust,sadness,0.0,0.0,
tindak polisi suai kode etik standar prosedur laku,netral,sadness,0.0,0.0,standar
terima kasih polri upaya hormat jasa pahlawan,joy,sadness,0.0,0.0,
profesional polisi aman masyarakat aktivitas,netral,sadness,0.0,0.0,
dukung wujud terima kasih baik polisi,joy,joy,0.1,0.1,baik
jengkel lihat polisi kritik kerja amburadul,anger,anger,0.6,-0.6,jengkel
kuat sistem awas internal tingkat transparansi polisi,netral,sadness,0.0,0.0,
sinergi polisi masyarakat,netral,sadness,0.0,0.0,
polisi gerak cepat tekan publik,shock,sadness,0.0,0.0,
kecewa berani bicara bungkam,fear,sadness,0.7,-0.7,kecewa
korup bebas jujur sulit,anger,sadness,0.0,0.0,
serius hoaks cepat banget tindak,shock,sadness,0.0,0.0,
kasus libat jabat deh lambat proses,shock,sadness,0.0,0.0,
hati senang polisi layan tulus,joy,joy,0.8,0.8,senang
institusi polisi adaptasi kembang zaman,netral,sadness,0.0,0.0,
polisi disiplin bawa ubah negeri,trust,sadness,0.0,0.0,
sulit percaya polisi profesional,trust,sadness,0.0,0.0,
butuh langsung jalan lancar,netral,sadness,0.0,0.0,
emosi polisi salah guna senjata wenang,fear,sadness,0.0,0.0,
hukum beli guna adil,fear,sadness,0.0,0.0,
polisi bukti jaga adil,trust,sadness,0.0,0.0,
polri tindak jujur adil hukum jadi alat kuasa tindas lemah,sadness,sadness,0.0,0.0,
