kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
tidak aman polisi,fear,sadness,0.0,0.0,
marah,anger,anger,0.8,-0.8,marah
serius kerja itu rakyat sari untung,anger,sadness,0.0,0.0,
adil wujud polisi transparansi,trust,sadness,0.0,0.0,
takut lapor polisi khawatir adil,fear,fear,0.0,0.0,
polisi aman,netral,sadness,0.0,0.0,
polisi suai tugas fungsi,netral,sadness,0.0,0.0,
jadi tidak masuk akal bikin takut,fear,fear,0.0,0.0,
polisi lambat tindak nyawa taruh,sadness,sadness,0.0,0.0,
ngeri aparat buat konsekuensi,fear,fear,0.0,0.0,
dukung wujud terima kasih baik polisi,joy,joy,0.1,0.1,baik
tugas utama polisi jaga tertib lindung warga,netral,sadness,0.0,0.0,
polisi hati nurani,trust,sadness,0.0,0.0,
kecewa banget polisi,sadness,sadness,0.7,-0.7,kecewa
polisi cepat keren,joy,sadness,0.0,0.0,
sosialisasi atur hukum masyarakat cegah langgar,netral,sadness,0.0,0.0,
sih tidak malu ragam,anger,sadness,0.0,0.0,
tindak polisi suai kode etik standar prosedur laku,netral,sadness,0.0,0.0,standar
bahagia polisi humanis layan masyarakat,joy,joy,1.0,1.0,bahagia
tugas tantang polisi,netral,sadness,0.0,0.0,
senang polri gelar bakti sosial ringan beban masyarakat,joy,joy,0.8,0.8,senang
rakyat biar tunggu adil tidak,fear,sadness,0.0,0.0,
rakyat udah muak main kayak,anger,sadness,0.0,0.0,
terima kasih polisi moga cepat usut tuntas,joy,sadness,0.0,0.0,
kali aman diam urus polisi,fear,sadness,0.0,0.0,
moga polisi benah biar percaya masyarakat,trust,sadness,0.0,0.0,
rakyat kecewa kinerja polisi,sadness,sadness,0.7,-0.7,kecewa
percaya polisi jujur semangat benar kerja,trust,sadness,0.0,0.0,
polisi koordinasi instansi kait,netral,sadness,0.0,0.0,
polisi aman sea hilang,fear,sadness,0.0,0.0,
latih kembang tingkat profesionalisme,netral,sadness,0.0,0.0,
polisi jahat sombong babi kau polisi,fear,sadness,0.0,0.0,
takut hukum tunduk uang kuasa,fear,fear,0.0,0.0,
tambah selesai lambat,sadness,sadness,0.0,0.0,
kecewa kinerja polisi lambat kembang,sadness,sadness,0.7,-0.7,kecewa
polisi harap rakyat kecewa,sadness,sadness,0.7,-0.7,kecewa
seram temu polisi muka galak,fear,fear,0.0,0.0,
hukum percaya,trust,sadness,0.0,0.0,
kecewa banget sikap polisi,sadness,sadness,0.7,-0.7,kecewa
lawan jahat berat berat aparat main,fear,sadness,0.0,0.0,
sumpah jabat formalitas doang bukti laku,anger,sadness,0.0,0.0,
layan publik optimal prioritas utama polisi,netral,sadness,0.0,0.0,
percaya polisi pamrih,trust,sadness,0.0,0.0,
polisi profesional bawa dampak sistem hukum,trust,sadness,0.0,0.0,
polisi tanggung harap bangsa,trust,sadness,0.0,0.0,
pecat oknum polisi,anger,sadness,0.0,0.0,
polisi milik tugas utama tegak hukum jaga tertib,netral,sadness,0.0,0.0,
pamer prestasi media lapang abai,anger,sadness,0.0,0.0,
kerja penting mending mundur aja,anger,sadness,0.0,0.0,
hebat polisi buka terima kritik masuk rakyat,joy,sadness,0.0,0.0,
korban polisi benar tindak,sadness,sadness,0.0,0.0,
polisi indonesia jujur adil,trust,sadness,0.0,0.0,
sulit percaya jahat ulang aparat,sadness,sadness,0.0,0.0,
susah banget cari polisi jujur kecewa banget,sadness,sadness,0.7,-0.7,kecewa
marah adil ilusi negeri,anger,anger,0.8,-0.8,marah
polisi pihak benar,sadness,sadness,0.0,0.0,
polisi santai jahat,fear,sadness,0.0,0.0,
